               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.028059,            0.025553,             0.01554,             0.63518,             0.28847,             0.34583,             0.19312,            0.019814,            0.019624,           0.0085261,             0.13242,          0.00098711,          0.00098711
                   1,            0.027419,            0.025439,            0.015128,             0.61224,             0.29438,             0.34117,             0.18937,            0.019723,            0.019577,            0.008623,             0.07818,           0.0018905,           0.0018905
                   2,            0.026869,            0.025242,            0.014698,             0.60789,             0.29595,             0.33998,             0.18895,            0.019675,            0.019558,           0.0086371,            0.023859,           0.0027101,           0.0027101
                   3,            0.026507,            0.025152,            0.014367,             0.59897,             0.29805,              0.3395,             0.18871,            0.019649,            0.019556,           0.0086458,           0.0029148,           0.0029148,           0.0029148
                   4,            0.026241,            0.025028,            0.014144,             0.60307,             0.30015,              0.3382,             0.18807,            0.019632,            0.019558,           0.0086578,           0.0029148,           0.0029148,           0.0029148
                   5,            0.026044,            0.025043,            0.014008,             0.59828,             0.30058,             0.33671,             0.18742,            0.019623,            0.019564,           0.0086699,           0.0027731,           0.0027731,           0.0027731
                   6,            0.025909,            0.025015,            0.013877,             0.58682,             0.30011,             0.33601,             0.18693,            0.019621,            0.019573,           0.0086874,           0.0026314,           0.0026314,           0.0026314
                   7,            0.025841,            0.024991,            0.013817,             0.58482,             0.29904,             0.33504,              0.1862,            0.019622,            0.019581,           0.0087075,           0.0024897,           0.0024897,           0.0024897
                   8,            0.025754,            0.024886,             0.01374,             0.58001,             0.29969,             0.33348,             0.18522,            0.019625,            0.019586,           0.0087252,           0.0023479,           0.0023479,           0.0023479
                   9,            0.025664,            0.024835,            0.013643,             0.57819,             0.30016,             0.33264,             0.18454,             0.01963,            0.019592,           0.0087401,           0.0022062,           0.0022062,           0.0022062
                  10,            0.025612,            0.024792,            0.013646,             0.57881,             0.29974,             0.33179,             0.18396,            0.019634,            0.019598,           0.0087541,           0.0020645,           0.0020645,           0.0020645
                  11,            0.025569,            0.024856,            0.013612,             0.57778,              0.3005,              0.3314,             0.18342,            0.019637,            0.019601,           0.0087655,           0.0019228,           0.0019228,           0.0019228
                  12,            0.025545,             0.02483,             0.01357,             0.57538,             0.30061,             0.33045,             0.18294,             0.01964,            0.019605,           0.0087747,            0.001781,            0.001781,            0.001781
                  13,            0.025499,            0.024757,            0.013536,             0.57313,             0.30084,             0.32973,             0.18266,            0.019645,            0.019608,           0.0087841,           0.0016393,           0.0016393,           0.0016393
                  14,            0.025447,            0.024792,            0.013508,             0.57043,             0.30096,             0.32927,             0.18196,            0.019647,             0.01961,           0.0087911,           0.0014976,           0.0014976,           0.0014976
                  15,            0.025449,            0.024786,            0.013472,             0.57007,             0.30169,              0.3287,             0.18154,            0.019648,            0.019611,           0.0087971,           0.0013559,           0.0013559,           0.0013559
                  16,            0.025404,             0.02478,            0.013449,             0.56977,             0.30192,             0.32765,             0.18099,            0.019648,            0.019612,           0.0088035,           0.0012141,           0.0012141,           0.0012141
                  17,              0.0254,            0.024792,            0.013415,             0.56837,             0.30207,             0.32734,             0.18061,            0.019651,            0.019614,             0.00881,           0.0010724,           0.0010724,           0.0010724
                  18,            0.025363,            0.024757,             0.01343,             0.56887,             0.30221,             0.32739,              0.1806,             0.01965,            0.019616,           0.0088155,          0.00093068,          0.00093068,          0.00093068
                  19,            0.025389,            0.024684,             0.01344,             0.56778,             0.30222,             0.32685,              0.1805,            0.019649,            0.019617,            0.008821,          0.00078896,          0.00078896,          0.00078896
                   0,            0.028059,            0.025553,             0.01554,             0.63518,             0.28847,             0.34583,             0.19312,            0.019814,            0.019624,           0.0085261,             0.13242,          0.00098711,          0.00098711
